"Chloride","rocktype","lnChloride"
6,"grano",1.79175946922805
0.5,"grano",-0.693147180559945
0.4,"grano",-0.916290716874155
0.7,"grano",-0.356674960938733
0.8,"grano",-0.22314353643921
6,"grano",1.79175946922805
5,"grano",1.6094379124341
0.6,"grano",-0.510825584099325
1.2,"grano",0.182321596793954
0.3,"grano",-1.20397276465927
0.2,"grano",-1.6094378974341
0.5,"grano",-0.693147180559945
0.5,"grano",-0.693147180559945
10,"grano",2.30258509299405
0.2,"grano",-1.6094378974341
0.2,"grano",-1.6094378974341
1.7,"grano",0.530628279297464
3,"grano",1.09861228866811
